work,mode,fraction,seed,attack_f1,tpr,fpr
Mateen / CICIDS2017,mateen,0.25,0,0.7920873302610619,0.71665282508656,0.05100267026226735
Mateen / CICIDS2017,mateen,0.25,1,0.769513393912588,0.6823156762915799,0.050001321912013535
Mateen / CICIDS2017,mateen,0.25,2,0.7786500020637394,0.7001091278199711,0.05390096235194585
Mateen / CICIDS2017,mateen,0.1,0,0.7577019623151959,0.6697017841596155,0.05382495241116751
Mateen / CICIDS2017,mateen,0.1,1,0.4368971472239438,0.29130508046170694,0.02318082875070502
Mateen / CICIDS2017,mateen,0.1,2,0.4877455650304634,0.3363584206957701,0.02354655774111675
Mateen / CICIDS2017,mateen,0.05,0,0.7081976533829535,0.6046824661282493,0.056552497532430905
Mateen / CICIDS2017,mateen,0.05,1,0.4020487972846672,0.26233204546457556,0.023417671319796954
Mateen / CICIDS2017,mateen,0.05,2,0.3714515106169615,0.23852051562894935,0.02511853144388043
Mateen / CICIDS2017,mateen,0.01,0,0.4853796398811258,0.3341879004529607,0.02351901790750141
Mateen / CICIDS2017,mateen,0.01,1,0.4867737277638109,0.33306051378340534,0.01942880181895093
Mateen / CICIDS2017,mateen,0.01,2,0.4860390401831004,0.33398328579051473,0.02214312782007896
Mateen / CICIDS2017,no_update,1.0,0,0.7771448009878267,0.7057641154026696,0.0606999964749013
Mateen / CICIDS2017,no_update,1.0,1,0.6532478944814698,0.5361024517651024,0.057792891638465876
Mateen / CICIDS2017,no_update,1.0,2,0.8104690158584392,0.7577322276117456,0.061574661590524535
Mateen / CICIDS2017,no_update,0.5,0,0.7561592752339464,0.6687288614999458,0.05492654575578116
Mateen / CICIDS2017,no_update,0.5,1,0.8763049919058431,0.8632913271467488,0.058762293781725886
Mateen / CICIDS2017,no_update,0.5,2,0.793493747031819,0.7239748203603625,0.05535506556683587
Mateen / CICIDS2017,no_update,0.25,0,0.7801037287449978,0.7040890836071559,0.0554784440214326
Mateen / CICIDS2017,no_update,0.25,1,0.7823349445499739,0.7076377437823221,0.05568444197687535
Mateen / CICIDS2017,no_update,0.25,2,0.8169564351211213,0.7609238151406826,0.055958738719684153
Mateen / CICIDS2017,no_update,0.1,0,0.8471286508594554,0.8085488808380374,0.05511601981105471
Mateen / CICIDS2017,no_update,0.1,1,0.6887775496104783,0.578989283808561,0.05613279046813311
Mateen / CICIDS2017,no_update,0.1,2,0.8202848278536649,0.7637482998928782,0.05403866152002256
Mateen / CICIDS2017,no_update,0.05,0,0.7962082607313893,0.7287371263274878,0.05589264311900733
Mateen / CICIDS2017,no_update,0.05,1,0.7891751724137931,0.717344904091892,0.0552526173857868
Mateen / CICIDS2017,no_update,0.05,2,0.7252718419421985,0.6210396029673139,0.05026350112803159
Mateen / CICIDS2017,no_update,0.01,0,0.7053403256494344,0.5919562365345498,0.04752383847997744
Mateen / CICIDS2017,no_update,0.01,1,0.6682515780480759,0.5452639729748163,0.047582222927241964
Mateen / CICIDS2017,no_update,0.01,2,0.6854727230248043,0.5650132999530589,0.0458659404963339
Mateen / Kitsune,mateen,1.0,0,0.8249806175483352,0.8909338794056458,0.056105359611649516
